date,previous_date,portfolio_value,historical_var_return_100,historical_var_dollar_100,bootstrap_ci_lower_return_100,bootstrap_ci_upper_return_100,bootstrap_ci_lower_dollar_100,bootstrap_ci_upper_dollar_100,bootstrap_std_return_100,bootstrap_std_dollar_100,ci_width_return_100,ci_width_dollar_100
2024-12-02,2024-11-29,20195684.673507847,0.02779816285532127,561402.9315288869,0.01721111958657517,0.04523125998492804,347590.3440485069,913476.2640410599,0.0077952717361280816,157430.8499271508,0.028020140398352867,565885.9199925531
2024-12-03,2024-12-02,20265321.59297948,0.02735458955620905,554349.5544005343,0.01760823235455386,0.0454872848231873,356836.49134894024,921814.4553333453,0.007917464265704749,160449.95954542985,0.02787905246863344,564977.9639844052
2024-12-04,2024-12-03,20172935.56181203,0.02739924814686216,552723.267308748,0.0182431522727622,0.04558374134753348,368017.9352427565,919557.8768700995,0.007897012044270936,159305.91509993107,0.027340589074771278,551539.941627343
2024-12-05,2024-12-04,20523470.861581624,0.02762517851797049,566964.546359558,0.01804304622456261,0.04590436339027362,370305.9334439811,942116.8644597349,0.007326369603880905,150362.53308642705,0.02786131716571101,571810.9310157538
2024-12-06,2024-12-05,20331883.294422995,0.02724737139076239,553990.3751967809,0.018091759762387638,0.045922513134057166,367839.54807960335,933691.1776282575,0.007598937368602725,154500.70774006037,0.027830753371669528,565851.6295486542
2024-12-09,2024-12-06,20394658.098350234,0.02664754526322,543467.5748036841,0.017392552355086258,0.04224565173588075,354715.1587396404,861585.623295264,0.006015932563077775,122692.88776670303,0.02485309938079449,506870.4645556236
2024-12-10,2024-12-09,20210060.007356748,0.025946158256630984,524373.4153268869,0.016864835834272437,0.04196507858558545,340839.34422486636,848116.7564281236,0.005802858455905797,117276.11760805367,0.025100242751313014,507277.4122032572
2024-12-11,2024-12-10,19882743.47729669,0.02567534431732279,510496.28475259634,0.01641718613420467,0.04149508732918451,326418.70052542357,825036.1769342,0.00589564873709678,117221.67147194348,0.025077901194979844,498617.4764087764
2024-12-12,2024-12-11,20478770.258867476,0.026448158776385382,541625.7673516457,0.01683186077226463,0.042030110709946215,344695.8097844511,860724.9811837539,0.006100765758097846,124936.18036325126,0.025198249937681584,516029.17139930284
2024-12-13,2024-12-12,20192600.498642705,0.026455595285338664,534207.2665506192,0.01686364367103675,0.04199370488169333,340520.8196007096,847962.1061339353,0.006221042611984051,125619.02814882666,0.025130061210656578,507441.2865332257
2024-12-16,2024-12-13,20381040.38922955,0.025392373573594133,517522.99138182716,0.01619446198217235,0.027505337899839267,330059.98374049715,560587.4026560304,0.0043566212514570875,88792.47368652269,0.011310875917666916,230527.41891553323
2024-12-17,2024-12-16,20571816.429098587,0.02563848790345257,527430.266669491,0.01634432336481838,0.027529985638836744,336232.41991887067,566341.8108578699,0.004394096801336074,90394.552768775,0.011185662274018363,230109.39093899925
2024-12-18,2024-12-17,20724827.72771772,0.025457406100624438,527600.3558299916,0.01615361967988258,0.02745294627503318,334780.9850446371,568957.5821683526,0.004917614441023351,101916.71212154583,0.0112993265951506,234176.59712371544
2024-12-19,2024-12-18,19497668.761500977,0.025331316486054675,493901.6181378429,0.015991191579343277,0.04170568796562503,311790.95651573886,813163.6894242744,0.00639941146586151,124773.60502991914,0.025714496386281753,501372.7329085355
2024-12-20,2024-12-19,19197150.177391887,0.024787559304670997,475850.4985027767,0.016160559328032804,0.04113984330920644,310236.68437089707,789767.7502812068,0.0066524598003362,127708.26983611648,0.024979283981173637,479531.0659103097
2024-12-23,2024-12-20,19599733.579137903,0.024846245840009797,486979.79890595545,0.01709099129033283,0.041007292669165994,334978.8758938898,803732.0111173883,0.0063062411790921775,123600.64699599515,0.023916301378833164,468753.13522349845
2024-12-24,2024-12-23,19572787.202182118,0.02463314275376431,482139.2612404033,0.0164158360901241,0.040677887850301436,321303.6665379003,796179.6427281795,0.0061829572055249185,121017.70566393783,0.024262051760177338,474875.9761902792
2024-12-26,2024-12-24,19731274.965724308,0.02385983906813794,470785.04529136093,0.0157413663185855,0.027074694213250435,310597.22716820193,534218.2361345491,0.003926526625830167,77475.3765144927,0.011333327894664933,223621.0089663472
2024-12-27,2024-12-26,19831016.440159142,0.02381817049142879,472338.5305900377,0.015545776155302157,0.026965867807631837,308288.5425108311,534760.5678163051,0.0041580795690344926,82458.94429301286,0.01142009165232968,226472.025305474
2024-12-30,2024-12-27,19399267.49227902,0.023377941825503512,453514.9468918803,0.016519101987040166,0.026891200058812192,320458.47817883006,521669.583129287,0.00386700450144245,75017.05471732916,0.010372098071772026,201211.10495045694
2024-12-31,2024-12-30,19095394.929699335,0.02156030388251588,411702.51744097064,0.015496699823327797,0.024543460665879258,295915.6032334462,468667.0743565058,0.0031849893603347495,60818.629682482504,0.00904676084255146,172751.47112305963
2025-01-02,2024-12-31,18772625.764101733,0.021396842728675983,401674.9210787756,0.016708437881247342,0.02436507471530497,313661.2514473972,457396.42934479774,0.0031688296638040965,59487.25338877861,0.0076566368340576264,143735.1778974005
2025-01-03,2025-01-02,18656821.270839844,0.021240591761771427,396281.9241862427,0.015698995987946465,0.02413123403826215,292893.36227874894,450212.12049666373,0.0028919368342826685,53954.34864377013,0.008432238050315684,157318.7582179148
2025-01-06,2025-01-03,18175867.62042345,0.020500299521708672,372610.73028560705,0.015890632142913825,0.02341484055797589,288826.0262344475,425585.04233509174,0.0025282347336476434,45952.859832136106,0.0075242084150620656,136759.01610064425
2025-01-07,2025-01-06,18670339.613698263,0.021387841816725865,399318.27032232913,0.016328069270836312,0.02391536625832643,304850.5985225045,446508.01002893475,0.0022210930119830824,41468.560847336135,0.007587296987490118,141657.41150643025
2025-01-08,2025-01-07,18886019.08174717,0.022148994557153086,418306.3338479074,0.016671113323096235,0.024950803959184434,314850.964333965,471221.3596780901,0.0026946685765105076,50891.56215496193,0.008279690636088199,156370.3953441251
2025-01-10,2025-01-08,19025755.02227408,0.021701701238124635,412891.2513231414,0.016478941546046556,0.02427204601406787,313524.30488145625,461794.0013530194,0.0024276441412424163,46187.76271253715,0.007793104468021315,148269.69647156313
2025-01-13,2025-01-10,18832454.379897695,0.0214095874656022,403195.0792383829,0.016282789414525416,0.02396365090215243,306644.888826531,451294.36239057983,0.002268597362714791,42723.25633968253,0.007680861487627012,144649.47356404882
2025-01-14,2025-01-13,18732188.520343095,0.021676401494606524,406046.4392396162,0.01639046694485297,0.024315951257917256,307029.31674743776,455490.98301477986,0.002707019247866733,50708.394879237014,0.007925484313064286,148461.6662673421
2025-01-15,2025-01-14,18559333.42627941,0.02197550150422029,407850.6596265291,0.016311559190269647,0.024913590197521526,302731.6657147066,462379.62732148834,0.0026205204970709676,48635.11365553954,0.00860203100725188,159647.96160678176
2025-01-16,2025-01-15,19285629.473445404,0.0233022397774357,449398.3622490058,0.016803257964032266,0.026143618538416687,324061.4070410469,504196.1402270025,0.002950846198997728,56908.92642699493,0.009340360574384421,180134.7331859556
2025-01-17,2025-01-16,19884863.432116967,0.024582673371144274,488823.1027815423,0.015983450762994882,0.02625573348761952,317828.73559611896,522091.6747113743,0.0037391554165196973,74352.59480895461,0.010272282724624639,204262.9391152553
2025-01-21,2025-01-17,19946988.506261766,0.024427464089400622,487254.34542839625,0.015974559522031914,0.0262220564517812,318644.355178565,523051.05865422677,0.003589038132297355,71590.50237347053,0.010247496929749286,204406.70347566175
2025-01-22,2025-01-21,20451927.25163198,0.0241172184984314,493243.598241632,0.01589776237776902,0.02614376101078311,325139.8796138638,534690.2982765887,0.00393470518331041,80472.30416568379,0.010245998633014088,209550.41866272484
2025-01-23,2025-01-22,20393892.630743302,0.024364192949635186,496880.73504957295,0.015824559527803133,0.026196103183191898,322724.367938823,534240.5156618884,0.0037144803723232595,75752.71389216396,0.010371543655388765,211516.1477230654
2025-01-24,2025-01-23,20874862.063491903,0.02215822461843048,462549.8824816068,0.015423490767618413,0.02619705713595542,321963.2423115752,546859.9541824857,0.003982816341701789,83140.74175724629,0.010773566368337007,224896.71187091048
2025-01-27,2025-01-24,20670016.211232558,0.02210344074008399,456878.4784215542,0.015398228221037662,0.02627895100934342,318281.62695310713,543186.3433773147,0.004152326681900992,85828.65982922699,0.010880722788305758,224904.7164242076
2025-01-28,2025-01-27,20627800.01732055,0.02214033363673779,456706.37457538256,0.015310118349628874,0.026432211913073766,315814.0595576542,545238.3813583235,0.004177695051659687,86176.65805898567,0.011122093563444893,229424.3218006693
2025-01-29,2025-01-28,20974006.603719197,0.01765488888276096,370293.756014957,0.015129084712472235,0.026406642977570338,317317.5226676198,553853.1041936155,0.0037750513171159817,79177.95125456946,0.011277558265098103,236535.5815259957
2025-01-30,2025-01-29,20855547.877938155,0.017638667421897923,367864.0729204201,0.015275433965970036,0.026557505534295454,318577.5444335708,553871.3281891063,0.004248227486168511,88599.11173416024,0.011282071568325417,235293.7837555355
2025-01-31,2025-01-30,21118255.64568433,0.017838125684137895,376710.0984374718,0.015485560313047042,0.026240274428748253,327028.02150759095,554148.823599219,0.003803994235106623,80333.7227316911,0.010754714115701211,227120.80209162802
2025-02-03,2025-01-31,20885933.48217413,0.017264628563604452,360587.8837738861,0.014507101213231823,0.025487960544638064,302994.3509587274,532339.8485315893,0.0033238438302789722,69421.58114434149,0.010980859331406242,229345.49757286184
2025-02-04,2025-02-03,20682280.92184764,0.016957310658719558,350715.86272267916,0.01564138947619817,0.0262169895939738,323499.61115476186,542227.1437077224,0.0037143171834269234,76820.55142048153,0.01057560011777563,218727.53255296056
2025-02-05,2025-02-04,21076142.24342612,0.016894230495714823,356065.20502091304,0.013857952105395208,0.026378716757225276,292072.1697758959,555961.5865743281,0.003695884105882213,77894.9791307913,0.012520764651830068,263889.41679843224
2025-02-06,2025-02-05,21219669.839568537,0.016919589921209274,359028.11194895225,0.013867608900853314,0.025739434863451496,294266.08234036923,546182.3096595206,0.003212056697364031,68158.78262403965,0.011871825962598182,251916.2273191514
